id,title,languages,document_type,date,date_type,place,place_type,publisher,scan_pages
UAKUG_NIM_005_137_3,NEUNTE SYMPHONIE,de;en;fr,programme,1953-08-11,announced-performance,Bayreuth,performance,,2
UAKUG_NIM_005_137_7,DAS RHEINGOLD,de,programme,1953-07-25,announced-performance,Bayreuth,performance,,2
UAKUG_NIM_005_137_8,DIE WALKÜRE,de,programme,1953-07-26,announced-performance,Bayreuth,performance,,2
UAKUG_NIM_005_137_9,SIEGFRIED,de,programme,1953-07-27,announced-performance,Bayreuth,performance,,2
UAKUG_NIM_005_137_10,GÖTTERDÄMMERUNG,de,programme,1953-07-29,announced-performance,Bayreuth,performance,,2
UAKUG_NIM_005_137_11,TRISTAN UND ISOLDE,de;en;fr,programme,1953-08-22,announced-performance,Bayreuth,performance,,6
UAKUG_NIM_005_137_12,Die Mitwirkenden der BAYREUTHER FESTSPIELE,de;en;fr,festival-booklet,1953,publication,Bayreuth,publication,VERLAG DER FESTSPIELLEITUNG,24
