"document_id","archivsignatur","folio","title","document_type","source_row","source_url"
"UAKUG/NIM_004_24","UAKUG/NIM_004","24","Kurzbiografie  von Ira Malaniuk als Typoscript (vermutlich als Anhang eines Briefes) ","autobiografie","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_25","UAKUG/NIM_004","25","NCAC Newsletter über Künstler:innen (Ira Malaniuk - Hugh Thompson)","Typoskript","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_26","UAKUG/NIM_004","26","Rezension von Herbert Kupferberg zu Mozarts Requiem und Schuberts Messe in Es-Dur mit Ira Malaniuk","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_27","UAKUG/NIM_004","27","Brief von Margaret Snider an Ira Malaniuk vom 27.10.1959","korrespondenz","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_28","UAKUG/NIM_004","28","NCAC Newsletter über Aktivitäten von div. Künstler:innen page 2 (Adele Addison-Ilona Kombrink)","Typoskript","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_29","UAKUG/NIM_004","29","Memorandum von Dr. Henry W. levinger (vermutlich eine Kopie von Malaniuk 004_24)","biographie","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_30","UAKUG/NIM_004","30","Liste des Opernrepertoires von Ira Malaniuk mit persönlichem Stempel","repertoireliste","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_31","UAKUG/NIM_004","31","Rezension von Laurent Savelli zu Der Rosenkavalier in der Opéra de Monte-Carlo","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_32","UAKUG/NIM_004","32","Rezension zu der Oper Capriccio","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_33","UAKUG/NIM_004","33","Rezension von Harald Kaufmann über Orchesterkonzert unter Caridis in Graz","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_34","UAKUG/NIM_004","34","Rezension über Altistinnen der Wiener Opernbühne","presse","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
